,Length,Area,Moment of Inertia,Material,Manufacturer,Latitude,Longitude
D48,9.5,0.00103,1.71e-06,Steel,0,0,0
D49,4.98,0.00103,1.71e-06,Steel,0,0,0
D50,2.52,0.00201,8.69e-06,Steel,0,0,0
D51,4.07,0.00201,8.69e-06,Steel,0,0,0
D52,5.99,0.02561093710018324,5.466000826246186e-05,Timber,0,0,0
D53,6.81,0.00201,8.69e-06,Steel,0,0,0
D54,6.45,0.02576986672963668,5.534050260526962e-05,Timber,0,0,0
D55,1.74,0.00538,8.36e-05,Steel,0,0,0
D56,9.46,0.00201,8.69e-06,Steel,0,0,0
D57,9.01,0.00103,1.71e-06,Steel,0,0,0
D58,5.4,0.005207514958115591,2.259851003249802e-06,Timber,0,0,0
D59,1.23,0.02588422094086151,5.583274114294447e-05,Timber,0,0,0
D60,2.51,0.004271282842567324,1.5203214267675e-06,Timber,0,0,0
D61,3.45,0.02587243267845771,5.578189772511052e-05,Timber,0,0,0
D62,3.58,0.00538,8.36e-05,Steel,0,0,0
D63,6.28,0.01542967881561782,1.983958236276044e-05,Timber,0,0,0
D64,4.63,0.00239,1.32e-05,Steel,0,0,0
D65,1.1,0.01072219652688811,9.580458196767625e-06,Timber,0,0,0
D66,7.53,0.02232342713870688,4.152794993476291e-05,Timber,0,0,0
D67,2.28,0.03414628017578325,9.716403748692401e-05,Timber,0,0,0
D68,2.29,0.02924407338425729,7.126798567531881e-05,Timber,0,0,0
D69,6.85,0.00508785467108201,2.157188762837586e-06,Timber,0,0,0
D70,3.82,0.02642228082334777,5.817807699232096e-05,Timber,0,0,0
D71,3.36,0.00538,8.36e-05,Steel,0,0,0
D72,6.72,0.00239,1.32e-05,Steel,0,0,0
D73,9.87,0.00201,8.69e-06,Steel,0,0,0
D74,5.17,0.01892867935310134,2.985790850437709e-05,Timber,0,0,0
D75,6.94,0.007507565036455974,4.696961064718017e-06,Timber,0,0,0
D76,1.04,0.01092213990582946,9.94109501020936e-06,Timber,0,0,0
D77,9.42,0.00164,5.41e-06,Steel,0,0,0
D78,1.36,0.02360237726300424,4.64226843720983e-05,Timber,0,0,0
D79,6.45,0.00459,5.79e-05,Steel,0,0,0
D80,7.76,0.00459,5.79e-05,Steel,0,0,0
D81,6.41,0.02257308987770697,4.246203221891975e-05,Timber,0,0,0
D82,2.87,0.02699186325553155,6.07133901671095e-05,Timber,0,0,0
D83,7.37,0.00201,8.69e-06,Steel,0,0,0
D84,6.31,0.00538,8.36e-05,Steel,0,0,0
D85,5.53,0.00538,8.36e-05,Steel,0,0,0
D86,1.52,0.03694872948674575,0.0001137673842237263,Timber,0,0,0
D87,8.76,0.010535542478921,9.249804610429074e-06,Timber,0,0,0
D88,6.08,0.00459,5.79e-05,Steel,0,0,0
D89,6.71,0.00103,1.71e-06,Steel,0,0,0
D90,2.23,0.03784872312353041,0.0001193771535068055,Timber,0,0,0
D91,4.86,0.00103,1.71e-06,Steel,0,0,0
D92,5.22,0.02793000094509263,6.500707939940625e-05,Timber,0,0,0
D93,2.88,0.00103,1.71e-06,Steel,0,0,0
D94,1.04,0.00334,2.77e-05,Steel,0,0,0
D95,6.23,0.02038441028872283,3.462701523491577e-05,Timber,0,0,0
D96,5.32,0.03341597368966583,9.305227480236988e-05,Timber,0,0,0
D97,9.22,0.03296002010103982,9.053024375507908e-05,Timber,0,0,0
D98,2.25,0.02564762112808622,5.481670579415454e-05,Timber,0,0,0
D99,6.49,0.02946867853699113,7.236691789304349e-05,Timber,0,0,0
D100,3.7,0.00239,1.32e-05,Steel,0,0,0
D101,8.97,0.00201,8.69e-06,Steel,0,0,0
D102,5.87,0.01504754543676889,1.886905197263536e-05,Timber,0,0,0
D103,9.01,0.01739824642784883,2.522491489701289e-05,Timber,0,0,0
D104,9.58,0.00103,1.71e-06,Steel,0,0,0
D105,3.63,0.01988607933609437,3.295467928011995e-05,Timber,0,0,0
D106,6.98,0.00334,2.77e-05,Steel,0,0,0
D107,6.92,0.00201,8.69e-06,Steel,0,0,0
D108,7.92,0.00538,8.36e-05,Steel,0,0,0
D109,8.23,0.00201,8.69e-06,Steel,0,0,0
D110,8.16,0.02135309644051332,3.79962272998219e-05,Timber,0,0,0
D111,7.62,0.00538,8.36e-05,Steel,0,0,0
D112,7.45,0.009893854007608088,8.157362260321887e-06,Timber,0,0,0
D113,6.7,0.00239,1.32e-05,Steel,0,0,0
D114,7.89,0.00459,5.79e-05,Steel,0,0,0
D115,3.65,0.008459804159567558,5.96402386818638e-06,Timber,0,0,0
D116,3.75,0.00103,1.71e-06,Steel,0,0,0
D117,8.15,0.013329856532182,1.48070895973796e-05,Timber,0,0,0
D118,7.33,0.0103814031989055,8.98112769818712e-06,Timber,0,0,0
D119,4.66,0.00538,8.36e-05,Steel,0,0,0
D120,3.93,0.02240560860093712,4.18342747315323e-05,Timber,0,0,0
D121,8.94,0.02904212761329623,7.028709802558195e-05,Timber,0,0,0
D122,3.6,0.00538,8.36e-05,Steel,0,0,0
D123,6.8,0.00538,8.36e-05,Steel,0,0,0
D124,8.11,0.01675486628849027,2.339379536209896e-05,Timber,0,0,0
D125,1.68,0.02412975402148874,4.852041909479599e-05,Timber,0,0,0
D126,3.45,0.02074982313412027,3.587959667477272e-05,Timber,0,0,0
D127,8.35,0.02187124165622881,3.986260096542986e-05,Timber,0,0,0
D128,1.22,0.01376668744880631,1.579347360942677e-05,Timber,0,0,0
D129,6.57,0.03357577843053833,9.394440810138357e-05,Timber,0,0,0
D130,3.48,0.00459,5.79e-05,Steel,0,0,0
D131,2.37,0.00334,2.77e-05,Steel,0,0,0
D132,7.26,0.01636923154468601,2.232931178029529e-05,Timber,0,0,0
D133,8.54,0.00201,8.69e-06,Steel,0,0,0
D134,4.12,0.0125855946869097,1.319976613526414e-05,Timber,0,0,0
D135,7.63,0.01926186787788447,3.091829617875646e-05,Timber,0,0,0
D136,2.11,0.00164,5.41e-06,Steel,0,0,0
D137,8.56,0.01771742867561851,2.615893990630243e-05,Timber,0,0,0
D138,7.25,0.03717935759349403,0.0001151920525887418,Timber,0,0,0
D139,3.2,0.03675005155766051,0.0001125471907908921,Timber,0,0,0
D140,2.05,0.02863053102009345,6.83089422077111e-05,Timber,0,0,0
D141,8.56,0.02077731546435232,3.597473649210118e-05,Timber,0,0,0
D142,8.23,0.02891731635487487,6.968426543065946e-05,Timber,0,0,0
D143,3.14,0.03402504942512299,9.647533236517184e-05,Timber,0,0,0
D144,1.63,0.02460296662670345,5.044216390289033e-05,Timber,0,0,0
D145,4.1,0.00538,8.36e-05,Steel,0,0,0
D146,5.86,0.00239,1.32e-05,Steel,0,0,0
D147,2.9,0.00201,8.69e-06,Steel,0,0,0
D148,6.18,0.01776031352616351,2.628572804563554e-05,Timber,0,0,0
D149,4.33,0.03050727188782307,7.755780316979664e-05,Timber,0,0,0
D150,8.09,0.02346920144145022,4.590028469161407e-05,Timber,0,0,0
D151,9.35,0.03221726388625615,8.649600769305537e-05,Timber,0,0,0
D152,4.92,0.03421297681905932,9.754398190179086e-05,Timber,0,0,0
D153,2.83,0.00334,2.77e-05,Steel,0,0,0
D154,4.69,0.02921093942336755,7.110658183297074e-05,Timber,0,0,0
D155,2.77,0.01328541753235667,1.47085265840875e-05,Timber,0,0,0
D156,7.72,0.00459,5.79e-05,Steel,0,0,0
D157,1.65,0.00239,1.32e-05,Steel,0,0,0
D158,9.17,0.00459,5.79e-05,Steel,0,0,0
D159,2.92,0.00334,2.77e-05,Steel,0,0,0
D160,1.76,0.00538,8.36e-05,Steel,0,0,0
D161,9.13,0.00201,8.69e-06,Steel,0,0,0
D162,2.38,0.03671058991813243,0.0001123056176781072,Timber,0,0,0
D163,4.02,0.00103,1.71e-06,Steel,0,0,0
D164,1.55,0.03718963325214827,0.0001152557351191077,Timber,0,0,0
D165,5.77,0.00538,8.36e-05,Steel,0,0,0
D166,8.57,0.00334,2.77e-05,Steel,0,0,0
D167,6.95,0.03450785501719776,9.923267149066173e-05,Timber,0,0,0
D168,4.59,0.009199406743892403,7.052423703297751e-06,Timber,0,0,0
D169,3.5,0.01409192938907815,1.654853949223037e-05,Timber,0,0,0
D170,7.56,0.02856284958619672,6.798636470697486e-05,Timber,0,0,0
D171,8.1,0.02155713435263159,3.872583679145076e-05,Timber,0,0,0
D172,2.72,0.006753564547468016,3.80088617473474e-06,Timber,0,0,0
D173,4.33,0.00334,2.77e-05,Steel,0,0,0
D174,3.18,0.03024746545918941,7.624243055873802e-05,Timber,0,0,0
D175,8.99,0.01452380773098585,1.757841591722037e-05,Timber,0,0,0
D176,9.65,0.008563376400853931,6.110951281891835e-06,Timber,0,0,0
D177,8.03,0.02049953270793207,3.501923677029805e-05,Timber,0,0,0
D178,9.02,0.03139367112482245,8.213021555779256e-05,Timber,0,0,0
D179,1.28,0.01422621470035254,1.686543205837722e-05,Timber,0,0,0
D180,5.26,0.00997751988090679,8.29590858115752e-06,Timber,0,0,0
D181,5.25,0.01329893106695593,1.47384639603038e-05,Timber,0,0,0
D182,5.0,0.00538,8.36e-05,Steel,0,0,0
D183,3.24,0.02381745191737115,4.727258465302391e-05,Timber,0,0,0
D184,3.2,0.00459,5.79e-05,Steel,0,0,0
D185,4.8,0.00164,5.41e-06,Steel,0,0,0
D186,2.34,0.00164,5.41e-06,Steel,0,0,0
D187,9.56,0.00334,2.77e-05,Steel,0,0,0
D188,5.29,0.03669212604999864,0.0001121926761724157,Timber,0,0,0
D189,7.22,0.01505022661406801,1.887577676123341e-05,Timber,0,0,0
D190,7.75,0.00164,5.41e-06,Steel,0,0,0
D191,2.46,0.009858435097486656,8.099061880946395e-06,Timber,0,0,0
D192,3.71,0.008046187799896135,5.395094842599785e-06,Timber,0,0,0
D193,2.73,0.004075532340415837,1.384163654814616e-06,Timber,0,0,0
D194,5.99,0.00239,1.32e-05,Steel,0,0,0
D195,5.29,0.00459,5.79e-05,Steel,0,0,0
D196,3.93,0.00334,2.77e-05,Steel,0,0,0
D197,4.98,0.005345093238359324,2.380835143896214e-06,Timber,0,0,0
D198,3.93,0.00334,2.77e-05,Steel,0,0,0
D199,1.77,0.01032519263034231,8.884133571139599e-06,Timber,0,0,0
D200,5.73,0.00201,8.69e-06,Steel,0,0,0
D201,2.15,0.02163508118859972,3.900639483644177e-05,Timber,0,0,0
D202,8.98,0.01528404436709462,1.946683435127641e-05,Timber,0,0,0
D203,5.09,0.00834818231181819,5.807678992612841e-06,Timber,0,0,0
D204,6.2,0.00164,5.41e-06,Steel,0,0,0
D205,4.53,0.00164,5.41e-06,Steel,0,0,0
D206,9.85,0.00334,2.77e-05,Steel,0,0,0
D207,5.26,0.00459,5.79e-05,Steel,0,0,0
D208,9.79,0.00239,1.32e-05,Steel,0,0,0
D209,3.66,0.03481884251116617,0.0001010293161514494,Timber,0,0,0
D210,4.76,0.006469587062429333,3.487963063196084e-06,Timber,0,0,0
D211,6.79,0.01947486587195919,3.160586672756672e-05,Timber,0,0,0
D212,8.0,0.00164,5.41e-06,Steel,0,0,0
D213,2.52,0.03768449455486758,0.000118343427487987,Timber,0,0,0
D214,3.18,0.02368546152375696,4.675009063278095e-05,Timber,0,0,0
D215,5.88,0.03938857871378286,0.0001292883444243223,Timber,0,0,0
D216,7.09,0.01208170387517262,1.216396404394676e-05,Timber,0,0,0
D217,6.2,0.01889017675784704,2.973656482855872e-05,Timber,0,0,0
D218,1.29,0.004279725076221553,1.526337227336632e-06,Timber,0,0,0
D219,1.2,0.00334,2.77e-05,Steel,0,0,0
D220,1.72,0.00334,2.77e-05,Steel,0,0,0
D221,9.71,0.00239,1.32e-05,Steel,0,0,0
D222,1.28,0.00334,2.77e-05,Steel,0,0,0
D223,6.32,0.008862495358052894,6.545318664292425e-06,Timber,0,0,0
D224,8.65,0.0366718214456592,0.0001120685406785258,Timber,0,0,0
D225,4.97,0.00164,5.41e-06,Steel,0,0,0
D226,9.97,0.00538,8.36e-05,Steel,0,0,0
D227,9.32,0.03675777151221064,0.0001125944805453237,Timber,0,0,0
D228,4.58,0.00164,5.41e-06,Steel,0,0,0
D229,4.75,0.01914096612017679,3.053138200114632e-05,Timber,0,0,0
D230,8.11,0.01926924545968441,3.094198504879737e-05,Timber,0,0,0
D231,5.94,0.007443892784040158,4.617628315023761e-06,Timber,0,0,0
D232,9.83,0.00239,1.32e-05,Steel,0,0,0
D233,2.11,0.00334,2.77e-05,Steel,0,0,0
D234,6.64,0.00334,2.77e-05,Steel,0,0,0
D235,9.91,0.00103,1.71e-06,Steel,0,0,0
D236,3.53,0.00164,5.41e-06,Steel,0,0,0
D237,5.37,0.00164,5.41e-06,Steel,0,0,0
D238,3.16,0.00334,2.77e-05,Steel,0,0,0
D239,8.17,0.01545129581344051,1.989521185953701e-05,Timber,0,0,0
D240,8.39,0.03544043681101834,0.0001046687134463153,Timber,0,0,0
D241,2.83,0.00201,8.69e-06,Steel,0,0,0
D242,6.92,0.004538251541814357,1.716310588065033e-06,Timber,0,0,0
D243,1.01,0.02277054402451355,4.320813959769247e-05,Timber,0,0,0
D244,6.93,0.005804744272104675,2.807921338711003e-06,Timber,0,0,0
D245,5.69,0.03622754332382283,0.0001093695746066217,Timber,0,0,0
D246,9.09,0.01556062622100632,2.017775736582244e-05,Timber,0,0,0
D247,9.26,0.006563384182690441,3.589834327465922e-06,Timber,0,0,0
D248,5.89,0.00538,8.36e-05,Steel,0,0,0
D249,9.64,0.01449516980224002,1.750916229964758e-05,Timber,0,0,0
D250,5.22,0.02869852405030631,6.863377355550081e-05,Timber,0,0,0
D251,6.84,0.00239,1.32e-05,Steel,0,0,0
D252,4.35,0.00164,5.41e-06,Steel,0,0,0
D253,5.89,0.00239,1.32e-05,Steel,0,0,0
D254,9.84,0.00201,8.69e-06,Steel,0,0,0
D255,7.39,0.00201,8.69e-06,Steel,0,0,0
D256,4.58,0.01956699303944033,3.19056013837922e-05,Timber,0,0,0
D257,6.64,0.03473447257947618,0.0001005402987811985,Timber,0,0,0
D258,5.91,0.01958251322341186,3.195623534542503e-05,Timber,0,0,0
D259,9.17,0.01015916724671135,8.600723262221055e-06,Timber,0,0,0
D260,1.24,0.00103,1.71e-06,Steel,0,0,0
D261,7.22,0.03782557141574884,0.0001192311544106596,Timber,0,0,0
D262,4.91,0.02488874124791092,5.162078674212187e-05,Timber,0,0,0
D263,8.05,0.00201,8.69e-06,Steel,0,0,0
D264,1.95,0.00239,1.32e-05,Steel,0,0,0
D265,3.06,0.01726129287825784,2.482935265241623e-05,Timber,0,0,0
D266,2.0,0.00239,1.32e-05,Steel,0,0,0
D267,7.24,0.00334,2.77e-05,Steel,0,0,0
D268,2.41,0.03523838764886261,0.0001034786636742928,Timber,0,0,0
D269,3.61,0.00459,5.79e-05,Steel,0,0,0
D270,5.71,0.03022757353137727,7.614218346623497e-05,Timber,0,0,0
D271,9.57,0.006598203145426579,3.628023729026434e-06,Timber,0,0,0
D272,9.72,0.02978410349517005,7.392440175091673e-05,Timber,0,0,0
D273,7.63,0.00201,8.69e-06,Steel,0,0,0
D274,1.04,0.03119605482470323,8.10994863854908e-05,Timber,0,0,0
D275,2.93,0.00334,2.77e-05,Steel,0,0,0
D276,8.11,0.02462304529104002,5.0524529950384e-05,Timber,0,0,0
D277,3.24,0.02701984341946011,6.08393282010118e-05,Timber,0,0,0
D278,8.9,0.01657158959277692,2.288479846928603e-05,Timber,0,0,0
D279,7.09,0.0297273389842254,7.364289025692062e-05,Timber,0,0,0
D280,7.47,0.03775643102294353,0.0001187956736325244,Timber,0,0,0
D281,4.04,0.02063185096038604,3.547277283763187e-05,Timber,0,0,0
D282,4.67,0.00103,1.71e-06,Steel,0,0,0
D283,1.01,0.00334,2.77e-05,Steel,0,0,0
D284,1.7,0.00103,1.71e-06,Steel,0,0,0
D285,6.66,0.00103,1.71e-06,Steel,0,0,0
D286,1.61,0.00459,5.79e-05,Steel,0,0,0
D287,4.5,0.01725597638488958,2.481406008298892e-05,Timber,0,0,0
D288,8.27,0.01136164450412329,1.07572471531729e-05,Timber,0,0,0
D289,6.69,0.00201,8.69e-06,Steel,0,0,0
D290,5.82,0.02795910363667204,6.514262301384729e-05,Timber,0,0,0
D291,7.93,0.02807066102571901,6.566350086840168e-05,Timber,0,0,0
D292,1.26,0.00239,1.32e-05,Steel,0,0,0
D293,1.96,0.00103,1.71e-06,Steel,0,0,0
D294,6.78,0.01766791747235949,2.601294231750882e-05,Timber,0,0,0
D295,7.31,0.005345863242354941,2.381521150496807e-06,Timber,0,0,0
D296,7.12,0.02764940249024755,6.370745483897561e-05,Timber,0,0,0
D297,3.36,0.00334,2.77e-05,Steel,0,0,0
D298,7.7,0.03812279463899954,0.0001211122892572776,Timber,0,0,0
D299,3.46,0.03725725544333658,0.0001156752569308361,Timber,0,0,0
D300,2.54,0.01013406253642957,8.558268624355443e-06,Timber,0,0,0
D301,9.81,0.00334,2.77e-05,Steel,0,0,0
D302,2.69,0.00334,2.77e-05,Steel,0,0,0
D303,1.87,0.02551786540820391,5.426345458260081e-05,Timber,0,0,0
D304,8.47,0.00538,8.36e-05,Steel,0,0,0
D305,9.55,0.00239,1.32e-05,Steel,0,0,0
D306,5.73,0.03861098126095437,0.0001242339894944808,Timber,0,0,0
D307,9.23,0.02491188710987114,5.171684328124698e-05,Timber,0,0,0
D308,2.99,0.005261165462357691,2.306655168525452e-06,Timber,0,0,0
D309,4.52,0.00201,8.69e-06,Steel,0,0,0
D310,5.49,0.00103,1.71e-06,Steel,0,0,0
D311,1.5,0.00239,1.32e-05,Steel,0,0,0
D312,8.0,0.03738476510241509,0.0001164683884802294,Timber,0,0,0
D313,6.86,0.03055063088961358,7.77784206461176e-05,Timber,0,0,0
D314,8.05,0.02753355251632946,6.317470951412272e-05,Timber,0,0,0
D315,1.65,0.00201,8.69e-06,Steel,0,0,0
D316,3.17,0.0226451264519998,4.273347933558841e-05,Timber,0,0,0
D317,6.96,0.00334,2.77e-05,Steel,0,0,0
D318,4.23,0.02091696040131239,3.645993603583921e-05,Timber,0,0,0
D319,7.01,0.00239,1.32e-05,Steel,0,0,0
D320,6.38,0.008209731624008568,5.61664111152053e-06,Timber,0,0,0
D321,6.22,0.00334,2.77e-05,Steel,0,0,0
D322,4.62,0.00459,5.79e-05,Steel,0,0,0
D323,1.27,0.03984723185174184,0.0001323168238538725,Timber,0,0,0
D324,2.05,0.00103,1.71e-06,Steel,0,0,0
D325,2.71,0.01244707662433213,1.291080970766629e-05,Timber,0,0,0
D326,1.71,0.03029676264492293,7.64911522302331e-05,Timber,0,0,0
D327,7.04,0.02886489605235508,6.943185200943863e-05,Timber,0,0,0
D328,3.57,0.02850829372311846,6.772690091696631e-05,Timber,0,0,0
D329,4.68,0.00595863178772232,2.958774398471241e-06,Timber,0,0,0
D330,5.23,0.03547295121929889,0.0001048608556838965,Timber,0,0,0
D331,10.0,0.0223849729297844,4.175725108893169e-05,Timber,0,0,0
D332,8.4,0.0255134157293385,5.424453184817142e-05,Timber,0,0,0
D333,6.29,0.00103,1.71e-06,Steel,0,0,0
D334,4.97,0.00103,1.71e-06,Steel,0,0,0
D335,7.99,0.03679694295452117,0.0001128345842331904,Timber,0,0,0
D336,6.06,0.00459,5.79e-05,Steel,0,0,0
D337,8.99,0.00164,5.41e-06,Steel,0,0,0
D338,6.81,0.00164,5.41e-06,Steel,0,0,0
D339,1.93,0.01614217171084181,2.171414229519181e-05,Timber,0,0,0
D340,1.86,0.01567842615376932,2.048442055493315e-05,Timber,0,0,0
D341,4.94,0.00201,8.69e-06,Steel,0,0,0
D342,6.49,0.03025299554781404,7.627031163467134e-05,Timber,0,0,0
D343,5.78,0.01056481453041849,9.301275505178468e-06,Timber,0,0,0
D344,2.53,0.00459,5.79e-05,Steel,0,0,0
D345,8.12,0.01800499967970623,2.701500112218513e-05,Timber,0,0,0
D346,8.85,0.00538,8.36e-05,Steel,0,0,0
D347,1.8,0.00201,8.69e-06,Steel,0,0,0
D348,4.25,0.01916971661890192,3.06231696040837e-05,Timber,0,0,0
D349,4.71,0.02682819837260863,5.997935232667003e-05,Timber,0,0,0
D350,4.13,0.03917758699337316,0.0001279069435519435,Timber,0,0,0
D351,6.7,0.00103,1.71e-06,Steel,0,0,0
D352,6.39,0.01423886853331857,1.689544809242747e-05,Timber,0,0,0
D353,8.5,0.00459,5.79e-05,Steel,0,0,0
D354,3.03,0.00459,5.79e-05,Steel,0,0,0
D355,8.67,0.00164,5.41e-06,Steel,0,0,0
D356,9.59,0.00459,5.79e-05,Steel,0,0,0
D357,8.61,0.02316592399211602,4.472166953404138e-05,Timber,0,0,0
D358,5.0,0.00201,8.69e-06,Steel,0,0,0
D359,2.09,0.00164,5.41e-06,Steel,0,0,0
D360,1.59,0.00459,5.79e-05,Steel,0,0,0
D361,3.38,0.00538,8.36e-05,Steel,0,0,0
D362,3.09,0.007241910045132197,4.370438425148885e-06,Timber,0,0,0
D363,7.36,0.03356320705513587,9.387407231882683e-05,Timber,0,0,0
D364,9.02,0.00239,1.32e-05,Steel,0,0,0
D365,1.3,0.02032058703287869,3.441052144673312e-05,Timber,0,0,0
D366,6.3,0.00459,5.79e-05,Steel,0,0,0
D367,9.87,0.02601443065520128,5.639588352618969e-05,Timber,0,0,0
D368,7.17,0.00201,8.69e-06,Steel,0,0,0
D369,6.7,0.008722648302829233,6.340382784570808e-06,Timber,0,0,0
D370,9.73,0.03980177522359467,0.0001320151092457962,Timber,0,0,0
D371,7.93,0.00201,8.69e-06,Steel,0,0,0
D372,5.85,0.03680959664046188,0.0001129122004027919,Timber,0,0,0
D373,1.35,0.0305246866490914,7.76463745854349e-05,Timber,0,0,0
D374,2.72,0.0372358481700495,0.0001155423657452483,Timber,0,0,0
D375,7.1,0.00201,8.69e-06,Steel,0,0,0
D376,8.93,0.00334,2.77e-05,Steel,0,0,0
D377,3.76,0.00239,1.32e-05,Steel,0,0,0
D378,3.33,0.029203128359147,7.106855883006799e-05,Timber,0,0,0
D379,2.78,0.03833672210691373,0.0001224753551585607,Timber,0,0,0
D380,6.21,0.00459,5.79e-05,Steel,0,0,0
D381,5.96,0.00538,8.36e-05,Steel,0,0,0
D382,8.18,0.00239,1.32e-05,Steel,0,0,0
D383,9.18,0.01859353598357744,2.880996503104908e-05,Timber,0,0,0
D384,9.3,0.01750468186406381,2.553449059684036e-05,Timber,0,0,0
D385,1.22,0.0396171943806847,0.0001307935075497463,Timber,0,0,0
D386,5.43,0.0126899327645553,1.341953279741118e-05,Timber,0,0,0
D387,5.03,0.00538,8.36e-05,Steel,0,0,0
D388,7.38,0.01997289541319626,3.324304593220636e-05,Timber,0,0,0
D389,5.53,0.01045592798644884,9.11053583815034e-06,Timber,0,0,0
D390,6.02,0.01430091769900938,1.704302058615332e-05,Timber,0,0,0
D391,8.11,0.00201,8.69e-06,Steel,0,0,0
D392,9.11,0.00538,8.36e-05,Steel,0,0,0
D393,3.67,0.02243801127215719,4.195536248745443e-05,Timber,0,0,0
D394,7.68,0.00334,2.77e-05,Steel,0,0,0
D395,3.15,0.01732789640954212,2.50213328316519e-05,Timber,0,0,0
D396,2.03,0.03318596966281263,9.177571520509333e-05,Timber,0,0,0
D397,5.07,0.03648106454807042,0.0001109056725467067,Timber,0,0,0
D398,6.76,0.01151963142919985,1.105849235538408e-05,Timber,0,0,0
D399,2.62,0.004026492363508927,1.351053396116308e-06,Timber,0,0,0
D400,8.6,0.00459,5.79e-05,Steel,0,0,0
D401,2.53,0.00164,5.41e-06,Steel,0,0,0
D402,6.5,0.00334,2.77e-05,Steel,0,0,0
D403,8.12,0.00459,5.79e-05,Steel,0,0,0
D404,7.26,0.03361226233370505,9.41486815991506e-05,Timber,0,0,0
D405,9.86,0.00459,5.79e-05,Steel,0,0,0
D406,4.17,0.00201,8.69e-06,Steel,0,0,0
D407,2.96,0.00239,1.32e-05,Steel,0,0,0
D408,2.96,0.00164,5.41e-06,Steel,0,0,0
D409,5.72,0.00538,8.36e-05,Steel,0,0,0
D410,1.73,0.03847930025287635,0.0001233880456625842,Timber,0,0,0
D411,1.19,0.00538,8.36e-05,Steel,0,0,0
D412,9.42,0.00459,5.79e-05,Steel,0,0,0
D413,8.36,0.00201,8.69e-06,Steel,0,0,0
D414,8.57,0.00103,1.71e-06,Steel,0,0,0
D415,9.89,0.01221077761826237,1.242525750355477e-05,Timber,0,0,0
D416,8.07,0.00334,2.77e-05,Steel,0,0,0
D417,1.55,0.03818335044137391,0.0001214973542440641,Timber,0,0,0
D418,1.91,0.00201,8.69e-06,Steel,0,0,0
D419,8.84,0.03540001166029155,0.0001044300687957315,Timber,0,0,0
