,Length,Area,Moment of Inertia,Material,Manufacturer,Latitude,Longitude
62,2.07,0.00239,1.32e-05,Steel,0,0,0
63,7.67,0.00201,8.69e-06,Steel,0,0,0
64,4.48,0.00164,5.41e-06,Steel,0,0,0
65,5.01,0.00164,5.41e-06,Steel,0,0,0
66,2.31,0.00103,1.71e-06,Steel,0,0,0
67,7.28,0.00538,8.36e-05,Steel,0,0,0
68,6.17,0.00103,1.71e-06,Steel,0,0,0
69,7.77,0.00103,1.71e-06,Steel,0,0,0
70,2.57,0.00459,5.79e-05,Steel,0,0,0
71,3.08,0.00334,2.77e-05,Steel,0,0,0
72,7.42,0.00538,8.36e-05,Steel,0,0,0
73,4.02,0.00334,2.77e-05,Steel,0,0,0
74,4.23,0.00538,8.36e-05,Steel,0,0,0
75,4.36,0.00538,8.36e-05,Steel,0,0,0
76,6.18,0.00239,1.32e-05,Steel,0,0,0
77,7.95,0.00164,5.41e-06,Steel,0,0,0
78,6.81,0.00459,5.79e-05,Steel,0,0,0
79,8.92,0.00334,2.77e-05,Steel,0,0,0
80,4.34,0.00103,1.71e-06,Steel,0,0,0
81,2.93,0.00334,2.77e-05,Steel,0,0,0
82,6.01,0.00334,2.77e-05,Steel,0,0,0
83,4.16,0.00164,5.41e-06,Steel,0,0,0
84,4.2,0.00538,8.36e-05,Steel,0,0,0
85,7.19,0.00164,5.41e-06,Steel,0,0,0
86,5.59,0.00164,5.41e-06,Steel,0,0,0
87,5.17,0.00201,8.69e-06,Steel,0,0,0
88,2.41,0.00239,1.32e-05,Steel,0,0,0
89,9.79,0.00103,1.71e-06,Steel,0,0,0
90,3.84,0.00201,8.69e-06,Steel,0,0,0
91,5.35,0.00334,2.77e-05,Steel,0,0,0
92,8.83,0.00239,1.32e-05,Steel,0,0,0
93,5.62,0.00201,8.69e-06,Steel,0,0,0
94,6.0,0.00538,8.36e-05,Steel,0,0,0
95,3.4,0.00334,2.77e-05,Steel,0,0,0
96,5.99,0.00164,5.41e-06,Steel,0,0,0
97,5.48,0.00459,5.79e-05,Steel,0,0,0
98,9.19,0.00201,8.69e-06,Steel,0,0,0
99,8.17,0.00459,5.79e-05,Steel,0,0,0
